Hadi - Hassan - PCF launch 
Wed, Apr 23, 2025

2:56 - Unidentified Speaker you you Thank you.

5:21 - Hadi Ur Rehman Hello, howdy. Hi, Wayne.

5:55 - Dwayne Gibson One second.

6:11 - Dwayne Gibson Hey, guys.

6:21 - Unidentified Speaker Hey, Matthew.

7:49 - Dwayne Gibson Hold on one second.

7:54 - Unidentified Speaker Hello Hassan.

7:57 - Unidentified Speaker Hello everyone.

8:00 - hassan mir All right, we got everybody.

8:07 - Matthew Prisco All right, Hassan, we've already had our meeting from the, in terms of the projects base and the freelancer portal that we're putting together. So kind of the way I've divided the tasks is we have our kind of central command. How are we trying to manage all of the tasks that we have going on? And then now we're, you know, to hear your feedback about what we should be documenting for each individual project. Obviously, we want to identify what are the most important projects and assign those for documentation, but really we're trying to think about an overall strategy of what to document as a PCF in Airtable to show in the in the freelancer portal? And then what also should we be thinking about as complete documentation? And would we need to have that before we launch a project? Is this something that a project or product managers used to at least updating throughout the project? But does it typically get created before the project? And then we have projects that we've already completed that have either no documentation or limited documentation. So if we come up with a good system for all of this, then we can bring in, you know, assign more people just to do the documentation. Two, three, four people to do documentation. That's kind of the goal. So interested to hear what your feedback is just from the review you did so far, and then we can talk about one or two specific projects and what would the documentation look like for those.

10:22 - Unidentified Speaker Yeah, go ahead.

10:23 - Matthew Prisco I don't know, do you want to just make a quick introduction just for yourself so that Dwayne and Hadi know and then they can also introduce themselves?

10:36 - hassan mir Hello everyone. My name is hassan mir. I've been working as a project manager from last six, seven years. And currently I'm serving Saudi airline as a technical project manager here in Jeddah, Saudi Arabia. And also I am PMP certified. And I think my skills and my technicalities will have helped Matthew in his overall documentation process and hoping for the best and hoping for to minimize and to process all the unprocessed tables, fields, and try to link all the documentation to their respective PCFS, which is project component or feature. So I overviewed yesterday all the tables, all the RAWs and projects. Some of them was project component, and features, but I found some thing about which I've shared you yesterday. And one of my observation is some of the projects are completed and considered to be ready for the documentation. And some, I would say that it's not completed and we need to find the relevant documentation, relevant solution, relevant what are the finalized requirements, it is not updated there. So you have mentioned two projects yesterday that we need to start working on it. And so I will start working on those two projects today and try to complete all the documentation and try to investigate and find all the related, correlated documentation and come up with a single document for this that single project.

12:32 - Matthew Prisco Okay, so the other part that may not be well structured or may not be completed in Airtable yet is the meetings that we've had. Typically when we launch a project, especially in the last one or year, year and a half, we've been using like we have on the call here, or read AI. So this itself is a PCF, is our documentation process would be either a feature or a component of some other, you know, the project of organizing and sharing this with freelancers. So it's almost meta that, yes, we're trying to create the documentation process, the PCF process, but it is itself a PCF that has links to others. So as we're doing here, I think of this as our launch call for the PCF process, which maybe that is a project, maybe it's a component. And for sure, something that we've already worked on, even though we hadn't really launched this, is what we've been calling the PCF writer automation. So Dwayne had originally come up with a prompt to try to take the recording from a key meeting, for sure from the launch meeting, possibly to identify other key meetings, take the transcripts from those and see if that is enough to give us a good, whatever we're trying to document in Airtable, objective of the PCS. What tools are we using? What is the general strategy? Which doesn't need to be perfectly detailed. I think just something that helps to share with whoever gets assigned the PCF at the time that we are starting. Can the same meetings also be used to do a draft of the longer documentation will also be something to explore using the PCF writer prompt. So maybe that's a good opportunity just for Dwayne to introduce himself, talk about what we've already been testing with the PCF writer prompt, and then also Dwayne will be able to do maybe later on, not just yet, but a screen share of of the air table bases that are relevant here. The table for PCFs I think is the most important. Just to have a look so we're all on the call and so that we can record it. What are the fields? Let's talk about those so that we can use even this meeting with the PCF writer prompt to try to get either the PCF filled or a draft done. And then even use just this exercise as a test run for the PCF writer. Dwayne?

